,0,1,2,3
"(18, 13)",-0.00945695302016889,-0.00946046342495825,-0.009461300515362595,-0.00945711534330006
"(19, 13)",-0.00942278216537995,-0.009420594725668993,-0.009428048359602904,-0.009422144615468286
"(19, 12)",-0.009390817877412276,-0.0093907302578396,-0.009389615659129321,-0.009387272204843288
"(20, 12)",-0.009354291125702073,-0.009355001453407476,-0.00935902585544594,-0.009352467704192976
"(20, 13)",-0.009325653392315395,-0.009320718817400295,-0.009321215367983067,-0.009319460277630913
"(20, 14)",-0.009291464362257194,-0.009295448129529937,-0.009286106954151184,-0.009287527230384325
"(19, 14)",-0.009252051777199424,-0.00925077253068789,-0.00924995176177284,-0.009254913312894618
"(19, 15)",-0.009221845032739713,-0.009210924402778476,-0.009215015217403545,-0.009213539992864301
"(20, 15)",-0.009174056373447325,-0.009175079361130826,-0.009183613390169498,-0.009172941401745658
"(20, 16)",-0.009135862826197732,-0.009140212717894548,-0.009138649805663153,-0.009138175926280426
"(19, 16)",-0.009099098025401925,-0.009100195406295204,-0.009103678625041316,-0.009102585577541667
"(19, 17)",-0.009063921973851391,-0.009061817702629163,-0.009064991970861235,-0.009062731029310794
"(20, 17)",-0.009027433415134668,-0.009025351409105205,-0.00902501078865349,-0.009028463746033413
"(20, 18)",-0.008990376572025467,-0.008985661338615883,-0.008986880022984003,-0.008986369455969727
"(21, 18)",-0.008942302583735387,-0.008944814205280434,-0.008951931572981716,-0.00894792256176881
"(21, 19)",-0.008905399564692669,-0.008906664044455488,-0.008901759216713215,-0.008904211393782516
"(20, 19)",-0.008862768756360502,-0.008865681683519222,-0.008861788530480662,-0.008859795001052766
"(19, 19)",-0.0088188854190365,-0.008817966064027712,-0.008821298808759558,-0.008825718908821133
"(19, 18)",-0.008778547523594294,-0.008779288113101587,-0.008777298251912863,-0.008779443838301069
"(18, 18)",-0.008737566838512734,-0.00873785582774669,-0.008741813075614856,-0.008736270048899056
"(18, 19)",-0.008706149933638024,-0.008696787052686172,-0.008692893409854853,-0.008696352884132844
"(17, 19)",-0.008649437773322591,-0.008645948329135934,-0.00864393623730527,-0.008657786601786484
"(17, 20)",-0.00860098136240455,-0.008603961321072795,-0.008599495321336853,-0.008600503717505962
"(16, 20)",-0.008554424142304808,-0.008554367210826298,-0.008552725324810424,-0.008554707428187208
"(16, 19)",-0.008508478281189913,-0.008513851053349952,-0.00851059574877619,-0.008512069536240128
"(16, 18)",-0.008461642501725031,-0.008468458491361883,-0.008458842312100496,-0.008457713892915872
"(15, 18)",-0.00841264281863,-0.008414436198193098,-0.00841067060172229,-0.008411994991462259
"(14, 18)",-0.008366728473005913,-0.008359524559979563,-0.008357071331103992,-0.008369255424298913
"(14, 19)",-0.008309282336276716,-0.00831027918031578,-0.008312941783969394,-0.00830947976270855
"(14, 20)",-0.008266452336418314,-0.008254107683463595,-0.00825599495722015,-0.008255934430177877
"(15, 20)",-0.00820383544468277,-0.008199671113650978,-0.008204028411921954,-0.008205778771578085
"(15, 21)",-0.008156630040868359,-0.008143141616832262,-0.008157465407620577,-0.008143808161344227
"(15, 19)",-0.008201749015073463,-0.008207431291757373,-0.008205544835646153,-0.008207663547808258
"(15, 22)",-0.008087616950151243,-0.008088071453664254,-0.008085241393141929,-0.008084846993937533
"(14, 22)",-0.008026099673309271,-0.008032214813103533,-0.00802550054403233,-0.008028182648192774
"(13, 22)",-0.007962600781721048,-0.007968438500047,-0.007967244786250742,-0.007973065133511129
"(13, 21)",-0.007896807189065397,-0.007908403802970558,-0.007895368149128106,-0.007899783719532547
"(14, 21)",-0.007900702735621917,-0.007903496071328937,-0.00790324861255147,-0.007897881754221953
"(12, 21)",-0.007824188450144631,-0.007836279482337128,-0.007831367250302014,-0.00783029712858718
"(12, 20)",-0.0077456494753319165,-0.007793784912811535,-0.007771580203413146,-0.007749770492165542
"(12, 19)",-0.007667548941199449,-0.0076851164766977694,-0.00767030945545239,-0.00765674075462312
"(13, 19)",-0.007549345834140711,-0.007597006032124036,-0.007637979555354923,-0.007592636801206762
"(13, 20)",-0.007599570715766494,-0.007592828161396278,-0.007595092991140107,-0.0075966560491876455
"(13, 18)",-0.007411504325025391,-0.007506919760003262,-0.007510094241874116,-0.0075237693951985905
"(13, 17)",-0.00745470579562463,-0.007460274094013319,-0.007228791073102311,-0.007439311293297466
"(12, 17)",-0.0069818488385418875,-0.007299380894622114,-0.007342937629440018,-0.0073977694823879146
"(12, 16)",-0.007240794571570718,-0.007265914785667201,-0.007241541671227343,-0.006673402198942161
"(13, 16)",-0.006221465951757652,-0.007171076046286289,-0.007190726257879503,-0.007113668745080696
"(13, 15)",-0.007086710716983116,-0.007096034381117278,-0.007040135372897362,-0.005594588318470061
"(14, 15)",-0.00472070275693422,-0.006805692806100818,-0.0069681281792868,-0.006951591554368133
"(14, 14)",-0.00669806588602308,-0.006867399655282261,-0.0034794667600828535,-0.006946771226581006
"(13, 14)",-0.006496432579320022,-0.006275045558248836,-0.001557525763181439,-0.006718325380070582
"(12, 14)",-0.006472260861917666,-0.005967099653635083,0.000632528280247774,-0.0062888704756106535
"(11, 14)",-0.004717951301416968,-0.006474210385170752,0.0038856242391141762,-0.006484209976040515
"(10, 14)",-0.006581966272243661,0.008285390659385281,-0.005444399856611977,-0.006202031851508337
"(10, 15)",-0.006137126927921383,0.014208330393879042,-0.006489709245740891,-0.004616029132111737
"(15, 14)",-0.006937255114080812,-0.006940654712344192,-0.006592464848644254,-0.006938540578676413
"(15, 15)",-0.00694687167234714,-0.0069383998588142945,-0.006945117103575901,-0.0069470749241394535
"(16, 15)",-0.006945394674583039,-0.006940667165912299,-0.006952553308097905,-0.006948175519903925
"(17, 15)",-0.006951179472683856,-0.006944543395646935,-0.006952742197618423,-0.006945918737919028
"(18, 15)",-0.006943671376245784,-0.006945728535665618,-0.006952198460811943,-0.006950548540019903
"(18, 14)",-0.006932624211659424,-0.006948770535155228,-0.006944513263211243,-0.006938141794945728
"(18, 16)",-0.006950770125707763,-0.006947622016338895,-0.006945384503856123,-0.006944113513600101
"(17, 14)",-0.006947092426039154,-0.006943964125431236,-0.006942409134680031,-0.00694739623549764
"(16, 14)",-0.006942317396645924,-0.006946890698282757,-0.006946423339900931,-0.006946973470397912
"(10, 16)",-0.005282254336560784,-0.003713561763055496,-0.0014858863964014727,0.022094977728542527
"(11, 16)",-0.006302996339904269,0.031968692349106445,-0.006195691501631701,-0.005640643758522802
"(11, 17)",-0.0030443162431451065,0.043545117568105,-0.0011757291998356232,-0.006212865641267361
"(11, 18)",-0.002885491159339432,0.05809485186375613,-0.0014069907891656247,-0.004785808018553342
"(11, 19)",-0.005993838741221944,-0.0038188043556601266,0.0756558845222737,0.008218875304633215
"(12, 18)",-0.0061462788508583706,-0.006154862217079329,0.0068815737078496055,-0.005663719166283215
"(10, 19)",-0.0013188605578670562,0.013529391244101966,0.09605589885132404,0.0033881539780352557
"(9, 19)",0.1191872734010456,0.016023657555826916,0.017556192918680845,0.003992549117907501
"(9, 18)",0.1462719069543035,0.002351271639834546,0.009982923323933949,0.00247269330496065
"(9, 17)",0.012077398393476801,-0.004617547921142938,0.17663229082343707,-0.00320441071610121
"(11, 15)",-0.006327726669817746,-0.002217894048514091,-0.006339771016935386,-0.0063307115962564975
"(12, 15)",-0.006333804653926406,-0.006329890858572377,-0.006335263591578175,-0.0063306430952896325
"(17, 16)",-0.006944522773860789,-0.006944211173204848,-0.00694534940890097,-0.006948029544262401
"(16, 16)",-0.006946663543863372,-0.006943371030446977,-0.0069487529628958974,-0.006949765600885496
"(16, 17)",-0.006946165735433533,-0.006944170450596598,-0.0069405402735129955,-0.006944847304402299
"(15, 17)",-0.006944292401308899,-0.006941660340048642,-0.006945567535615292,-0.006945859848432639
"(17, 17)",-0.006946821260771444,-0.006946252828131479,-0.006947672971647424,-0.006944057622902865
"(18, 17)",-0.006946240692556484,-0.006943781339088784,-0.006947016702468625,-0.006943393748495517
"(17, 18)",-0.006950267796506733,-0.006947255631027152,-0.006946042559245143,-0.0069421002099414415
"(15, 16)",-0.006955446651652087,-0.006947528534929859,-0.006942436657677805,-0.006946268012228752
"(14, 16)",-0.006947907379237767,-0.006939259228358509,-0.006945492765187616,-0.006946967588702865
"(14, 17)",-0.006944595744679074,-0.006941306232685504,-0.006936254124738953,-0.006939874149625622
"(8, 17)",0.003249633233772948,0.2103670220735325,0.02805136478950302,0.01662213575387697
"(8, 18)",0.03388573216479275,0.03532283639446529,0.2452311594468964,0.03015047793145876
"(7, 18)",0.06732807594229369,0.2827058906994367,0.04724641964142859,0.015055206263589128
"(8, 16)",-0.005567632973255555,0.045327538098848534,-0.005562312293106962,-0.005559077301007485
"(9, 16)",-0.005561077138257557,-0.005556802318002067,-0.005562949452126336,-0.005561470834922699
"(10, 17)",-0.005671635541989348,-0.005671626870996533,0.024221993859901897,-0.005679166975170654
"(10, 18)",-0.0056761966332491524,-0.005674281872326991,-0.005672546614556182,-0.005670436152526451
"(7, 19)",0.06087010401034773,0.029732403380279757,0.07559535965698275,0.3196573851862539
"(8, 19)",0.031934857698797725,0.35829234697648205,0.06229802031319531,0.11494978451675993
"(8, 20)",0.02912604012137076,0.09507217278614316,0.3983853111739978,0.004230675366823488
"(7, 20)",0.0346084106222357,0.43214342657849725,0.06108117629398216,0.08212501936092532
"(7, 21)",0.03714036955010793,0.16010556973588483,0.46680872018079195,0.08300895523154592
"(6, 21)",0.12157469613878132,0.038623683137368386,0.4966398290930723,0.19652894508929894
"(5, 21)",0.04762220072672381,0.5273312453537041,0.10999658671626128,0.15116848663901047
"(5, 22)",0.07922926087302062,0.55545598631041,0.12844974747320625,0.10263962730644513
"(5, 23)",0.07790463290897062,0.17358421231910326,0.09669443471354208,0.5804907994035347
"(6, 23)",0.6022505694202225,0.0676265385689205,0.1379067220008933,0.11169942741517565
"(6, 22)",0.23965706166022305,0.03082359008641196,0.1600132250160674,0.6209552523754047
"(7, 22)",0.22403851466806066,0.3117834433762485,0.16556050996554453,0.6372242011527196
"(8, 22)",0.23509658795009017,0.6516131934364916,0.26442537150844836,0.2977668809450446
"(8, 23)",0.1570204558850617,0.21911844853899504,0.2608357891120976,0.6644467050265426
"(9, 23)",0.6759425087956561,0.2993508449774943,0.10878929551119064,0.23272148095152215
"(9, 22)",0.3931815297917355,0.09687678132775018,0.11255179753724007,0.6858977155683907
"(10, 22)",0.3224115792607435,0.32850898009178364,0.2905910815036803,0.6952726725340066
"(11, 22)",0.04253286738618295,0.7037194458786253,0.2472148853472018,0.41126403468481076
"(11, 21)",-0.0033543911206474863,0.22833478729281767,-0.0034632554825064148,-0.003461871975615323
"(10, 21)",-0.003464525906108901,-0.0034553593209207135,-0.0034616473281271222,-0.003471492712301584
"(10, 20)",-0.003464419918143793,-0.003466516890934252,-0.0034654251944212914,-0.003472953893666757
"(9, 20)",-0.003466066662151721,-0.0034669058460605764,-0.0034613999922305434,-0.003470804273904792
"(9, 21)",-0.003473096160931588,-0.0034810329978588093,-0.0034644919699699864,-0.0034694140078715763
"(8, 21)",-0.0034623885107576166,-0.0034557445139996638,-0.003450869520219133,-0.0034705682754531215
"(11, 20)",-0.0034680304380505103,-0.0034703063139905,-0.003477088277852626,-0.0034664785003689553
"(11, 23)",0.24392719850520705,0.24464141717984134,0.11303067665594593,0.7118740848773393
"(12, 23)",0.03055303232699956,0.719800459958375,0.2305253480793133,0.2061269337607459
"(12, 22)",-0.003223392895909247,0.21751959708310334,-0.003228215421547594,-0.003231782569292487
"(12, 24)",0.275706637590617,0.3364802998111184,0.17913106840698653,0.727610390285352
"(11, 24)",-0.003112486813293502,0.037956547895137326,-0.003116651658406222,0.4425216684604439
"(10, 24)",-0.0031174851396874948,-0.0031154497842653104,-0.0031194607447196146,-0.0031207856999807292
"(13, 24)",0.3676930569988511,0.44997314884145945,0.502526020606303,0.7352863469290531
"(14, 24)",0.5267834795003217,0.4806396464795536,0.39968510650206357,0.742993605482011
"(15, 24)",0.4372747212910939,0.49955932228003097,0.3981966051333324,0.7507296134754358
"(16, 24)",0.582477243739209,0.44841636084211756,0.32120900149151915,0.7585104393601945
"(17, 24)",0.32937444308915353,0.44158866454031376,0.5489420858389181,0.7663493679543795
"(9, 24)",-0.0031100801201527735,-0.003117066759514793,-0.003119977310560911,-0.0031236422067116975
"(8, 24)",-0.0031188733431756943,-0.003124187197643319,-0.0031201796694687355,-0.003125080978303901
"(7, 24)",-0.003123439522375424,-0.0031261260819195526,-0.0031165476059429468,-0.003127498798712291
"(10, 23)",-0.0031160280276674567,-0.003122226657174191,-0.0031205563608731344,-0.0031101050120358677
"(18, 24)",0.7742601991264405,0.48106422729865844,0.5270727822599343,0.46671528870637136
"(18, 23)",0.782246304373313,0.41337846568985714,0.43572219925467104,0.5595733062925068
"(18, 22)",0.7903110520968273,0.4122866075213874,0.5582863779801632,0.5759006923959715
"(18, 21)",0.7984562213939552,0.5689657560419195,0.27708161670776665,0.5277298865771857
"(18, 20)",0.3660794334967456,0.550663835778598,0.6588136195613498,0.8066833319151075
"(19, 20)",0.42984518084213275,0.6119014527330208,0.5031549377420186,0.81499338123736
"(20, 20)",0.6770544280196285,0.8233872962081443,0.6720013441947893,0.5989052980123383
"(17, 21)",-0.002079563016009812,-0.002005630246681319,-0.002086258087458403,0.5728496320173768
"(16, 21)",-0.002080227764496039,-0.002082819856515009,-0.002087038652326425,-0.0020838029891350777
"(16, 22)",-0.002089810163939215,-0.002086412575050416,-0.0021108460225897126,-0.0020808568128700116
"(20, 21)",0.5107436337817511,0.7048695931512218,0.6339811172291678,0.8318659730264281
"(21, 21)",0.5500213023328668,0.6056659336205318,0.574988107951513,0.8404302817009632
"(22, 21)",0.5720695354859473,0.8490810945701107,0.3698892525666065,0.6270815723204078
"(22, 22)",0.5785728227521254,0.6969041616866328,0.8578192880593482,0.7708290385227825
"(21, 22)",0.7250094860210445,0.8666457457003112,0.6973696396676599,0.7433426530218055
"(21, 23)",0.7465686395941158,0.8001401541740742,0.8755613593488181,0.5956777458466241
"(16, 23)",-0.00209358503160015,-0.0020829376450561157,-0.0020732813211420797,-0.002065210056061575
"(17, 23)",-0.0020624620149958754,-0.0020685274065572294,-0.0020689696125993856,-0.002061546619123279
"(15, 23)",-0.0020707146824167685,-0.0020779572106753214,-0.0020688894146377586,-0.002082440242582242
"(17, 22)",-0.0020576487536728945,-0.0020694919892447223,-0.002078144416979856,-0.0020612121266888705
"(14, 23)",-0.0020675148033526634,-0.002067189025452484,-0.0020663724663779423,-0.00207934446987653
"(13, 23)",-0.0020663388810023913,-0.0020651985029001645,-0.0020602732433738845,-0.002072973530247532
"(7, 23)",-0.0031299019495876416,-0.0031299290388812464,-0.0031222516221348384,-0.0031302020733001206
"(6, 24)",-0.003114200301978577,-0.003119417819534587,-0.0031162120222911053,-0.0031241526836731427
"(5, 24)",-0.003120046546831097,-0.0031188928289041136,-0.0031413213490867386,-0.0031229306707236944
"(4, 24)",-0.003139408629711049,-0.003140103535499419,-0.0031353780321657786,-0.003145167691768043
"(20, 23)",0.884567029659278,0.7516177198544756,0.5291439058593749,0.7336460412030535
"(20, 22)",0.7042234775296039,0.7535180987594592,0.8936636663261209,0.7262931361131097
"(19, 22)",0.25847982619973164,0.9028521882087742,0.7577579082605842,0.7693375052947211
"(19, 21)",-0.0006971905935641092,0.5941450690643193,-0.0006976947488462805,0.002119046634465354
"(19, 23)",0.8144495224149024,0.9121335234433396,0.8477308911762369,0.7460554535390881
"(19, 24)",0.7892119144112995,0.6637154725893806,0.6576539472834686,0.9215086095387579
"(20, 24)",0.8606455314398539,0.7662396806371551,0.8391514876621257,0.9309783934734976
"(21, 24)",0.7580988549853416,0.8380041178992488,0.6535570014728688,0.9405438317914123
"(22, 24)",0.9502058906983968,0.8923597175918125,0.8301045185528426,0.8784538218400343
"(22, 23)",0.772605234937849,0.7807700017962547,0.8807115238556369,0.9599655461599974
"(23, 23)",0.9698237839999979,0.8001970675714881,0.8656546450209739,0.9195258203025731
"(23, 22)",0.7249748400433214,0.8821232694157236,0.8636811116246206,0.9797815999999984
"(24, 22)",0.521471657443605,0.9898399999999989,0.9041625070050284,0.888807423768605
"(24, 23)",0.8560343251325351,0.9999999999999996,0.9292362013174462,0.8971044317864164
"(24, 24)",0,0,0,0
"(4, 23)",-0.003139518397147744,-0.003146702794577072,-0.003143952456548657,-0.003146326143814006
